sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Als de heren hier even willen wachten, dan zal ik de directeur waarschuwen.	waarschuwen	13	zal	9.0	ik	10	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	9	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/eans/02_03_02_01_v.xml', 'sent_id': 'eans\\02_03_02_01_v', 'text': 'Als de heren hier even willen wachten, dan zal ik de directeur waarschuwen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	Als de heren hier even willen wachten, dan	Als de heren hier even willen wachten, dan zult ik de directeur waarschuwen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+
"Volgens mevrouw-hier zou ik andere grond krijgen, maar daar heb ik verder nooit meer iets over gehoord. """	gehoord	17	heb	10.0	ik	11	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	10	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	"{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/530.xml', 'sent_id': 'cdb\\530', 'text': 'Volgens mevrouw-hier zou ik andere grond krijgen, maar daar heb ik verder nooit meer iets over gehoord. ""', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}"	hebt	1 -> 2	Volgens mevrouw-hier zou ik andere grond krijgen, maar daar	"Volgens mevrouw-hier zou ik andere grond krijgen, maar daar hebt ik verder nooit meer iets over gehoord. """	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+
omdat je het vraagt, zal ik het je zeggen.	zeggen	9	zal	5.0	ik	6	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	5	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cgn_exs/156.xml', 'sent_id': 'cgn_exs\\156', 'text': 'omdat je het vraagt, zal ik het je zeggen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	omdat je het vraagt,	omdat je het vraagt, zult ik het je zeggen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+
Ook zal ik de komende zomer weer gewoon de fiets beklimmen.	beklimmen	10	zal	1.0	ik	2	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	1	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/697.xml', 'sent_id': 'cdb\\697', 'text': 'Ook zal ik de komende zomer weer gewoon de fiets beklimmen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	Ook	Ook zult ik de komende zomer weer gewoon de fiets beklimmen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+
""" Voor de wedstrijd heb ik mijn spelers attent gemaakt op de conditie van de Polen."	gemaakt	9	heb	4.0	ik	5	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	4	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	"{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/2606.xml', 'sent_id': 'cdb\\2606', 'text': '"" Voor de wedstrijd heb ik mijn spelers attent gemaakt op de conditie van de Polen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}"	hebt	1 -> 2	""" Voor de wedstrijd"	""" Voor de wedstrijd hebt ik mijn spelers attent gemaakt op de conditie van de Polen."	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+
De smokkelhandel teelde hier welig en verder in dit boek zal ik daar nog vaker op terugkomen.	terugkomen	16	zal	10.0	ik	11	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	10	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'WR-P-E-I-train.collection', 'source': 'LassyDevelop/WR-P-E-I-0000050381/WR-P-E-I-0000050381.p.1.s.170.xml', 'sent_id': 'WR-P-E-I-0000050381.p.1.s.170', 'text': 'De smokkelhandel teelde hier welig en verder in dit boek zal ik daar nog vaker op terugkomen.', 'auto': 'ALUD2.13.0', 'treebank': 'UD_Dutch-LassySmall/nl_lassysmall-ud-train.conllu'}	zult	1 -> 2	De smokkelhandel teelde hier welig en verder in dit boek	De smokkelhandel teelde hier welig en verder in dit boek zult ik daar nog vaker op terugkomen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+
Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel, zal ik mijn uiterste best doen om die te grijpen.	doen	23	zal	18.0	ik	19	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	zal	18	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'zullen', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/3934.xml', 'sent_id': 'cdb\\3934', 'text': 'Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel, zal ik mijn uiterste best doen om die te grijpen.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	zult	1 -> 2	Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel,	Natuurlijk, wanneer zich dit seizoen al een kans voordoet om mee te knokken om de titel, zult ik mijn uiterste best doen om die te grijpen.	[]	[]	0	0	0	False	False	False	0.0833333333333333	SV-P	nld	1	2	VS	aux	+
Een dag voor de wedstrijden, trouwens dat heb ik je al verteld, vroor het nog dat het kraakte;	verteld	12	heb	8.0	ik	9	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	8	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/3522.xml', 'sent_id': 'cdb\\3522', 'text': 'Een dag voor de wedstrijden, trouwens dat heb ik je al verteld, vroor het nog dat het kraakte;', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	hebt	1 -> 2	Een dag voor de wedstrijden, trouwens dat	Een dag voor de wedstrijden, trouwens dat hebt ik je al verteld, vroor het nog dat het kraakte;	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+
In de afgelopen twee weken heb ik 1200 kilometer getraind, heel veel achter een scooter om snelheid te krijgen. ''	getraind	9	heb	5.0	ik	6	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	5	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	"{'archive': 'nl_alpinodev-ud-dev.collection', 'source': 'LassyDevelop/WR-P-P-H-0000000025/WR-P-P-H-0000000025.p.10.s.4.xml', 'sent_id': 'WR-P-P-H-0000000025\\WR-P-P-H-0000000025.p.10.s.4', 'text': ""In de afgelopen twee weken heb ik 1200 kilometer getraind, heel veel achter een scooter om snelheid te krijgen. ''"", 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-dev.conllu'}"	hebt	1 -> 2	In de afgelopen twee weken	In de afgelopen twee weken hebt ik 1200 kilometer getraind, heel veel achter een scooter om snelheid te krijgen. ''	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+
Dat heb ik zo kunnen zien, Maar ja, jullie hebben natuurlijk een aantrekkelijker systeem.	zien	5	heb	1.0	ik	2	{'Case': 'Nom', 'Person': '1', 'PronType': 'Prs', 'lemma': 'ik'}	PRON	heb	1	{'Number': 'Sing', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'hebben', 'Person': '1'}	AUX	-1	[]	{'archive': 'nl_alpinodev-ud-train.collection', 'source': 'Treebank/cdb/3564.xml', 'sent_id': 'cdb\\3564', 'text': 'Dat heb ik zo kunnen zien, Maar ja, jullie hebben natuurlijk een aantrekkelijker systeem.', 'auto': 'ALUD2.12.3', 'treebank': 'UD_Dutch-Alpino/nl_alpino-ud-train.conllu'}	hebt	1 -> 2	Dat	Dat hebt ik zo kunnen zien, Maar ja, jullie hebben natuurlijk een aantrekkelijker systeem.	[]	[]	0	0	0	False	False	False	0.0124999999999999	SV-P	nld	1	2	VS	aux	+
